iter	Passed	Remaining
863	1024	161
864	1025	160
865	1026	158
866	1027	157
867	1028	156
868	1028	155
869	1029	153
870	1030	152
871	1031	151
872	1032	150
873	1034	149
874	1035	147
875	1035	146
876	1036	145
877	1037	144
878	1038	142
879	1039	141
880	1040	140
881	1040	139
882	1041	138
883	1042	136
884	1043	135
885	1044	134
886	1044	133
887	1045	131
888	1047	130
889	1048	129
890	1049	128
891	1049	127
892	1050	125
893	1051	124
894	1052	123
895	1054	122
896	1055	121
897	1056	119
898	1057	118
899	1058	117
900	1058	116
901	1059	115
902	1060	113
903	1062	112
904	1062	111
905	1063	110
906	1064	109
907	1065	107
908	1066	106
909	1067	105
910	1067	104
911	1068	103
912	1069	101
913	1070	100
914	1071	99
915	1072	98
916	1072	97
917	1073	95
918	1074	94
919	1075	93
920	1076	92
921	1077	91
922	1078	89
923	1079	88
924	1079	87
925	1080	86
926	1081	85
927	1082	83
928	1083	82
929	1083	81
930	1084	80
931	1085	79
932	1086	78
933	1087	76
934	1087	75
935	1088	74
936	1089	73
937	1090	72
938	1091	70
939	1093	69
940	1094	68
941	1094	67
942	1095	66
943	1096	65
944	1097	63
945	1098	62
946	1099	61
947	1099	60
948	1100	59
949	1101	57
950	1102	56
951	1103	55
952	1104	54
953	1105	53
954	1106	52
955	1107	50
956	1108	49
957	1109	48
958	1109	47
959	1110	46
960	1111	45
961	1113	43
962	1113	42
963	1114	41
964	1115	40
965	1116	39
966	1117	38
967	1120	37
968	1121	35
969	1122	34
970	1123	33
971	1134	32
972	1136	31
973	1137	30
974	1138	29
975	1139	28
976	1140	26
977	1141	25
978	1142	24
979	1143	23
980	1144	22
981	1144	20
982	1145	19
983	1146	18
984	1147	17
985	1149	16
986	1150	15
987	1152	13
988	1153	12
989	1154	11
990	1155	10
991	1156	9
992	1157	8
993	1157	6
994	1158	5
995	1159	4
996	1160	3
997	1161	2
998	1162	1
999	1164	0
